params,total_pnl,win_rate,avg_trade,max_win,max_loss,max_drawdown,std_dev,sharpe_ratio,trade_count,profit_factor
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",720.0,1.0,40.0,40.0,40.0,0.0,0.0,0,18,inf
