,Close,High,Low,Open,Volume,"('Close', 'SPY')","('High', 'SPY')","('Low', 'SPY')","('Open', 'SPY')","('Volume', 'SPY')"
Ticker,SPY,SPY,SPY,SPY,SPY,,,,,
Date,,,,,,,,,,
2025-10-23,671.760009765625,672.7100219726562,667.7999877929688,668.1199951171875,65604500,,,,,
2025-10-24,677.25,678.469970703125,675.6500244140625,676.4600219726562,74356500,,,,,
2025-10-27,685.239990234375,685.5399780273438,682.1199951171875,682.72998046875,63339800,,,,,
2025-10-28,687.0599975585938,688.9099731445312,684.8300170898438,687.0499877929688,61738100,,,,,
2025-10-29,687.3900146484375,689.7000122070312,682.8699951171875,688.719970703125,85657100,,,,,
2025-10-30,679.8300170898438,685.9400024414062,679.8300170898438,683.9000244140625,76335800,,,,,
2025-10-31,682.0599975585938,685.0800170898438,679.239990234375,685.0399780273438,87119400,,,,,
2025-09-29 00:00:00,,,,,,663.6799926757812,665.280029296875,661.8599853515625,664.3599853515625,73499000.0
2025-09-30 00:00:00,,,,,,666.1799926757812,666.6500244140625,661.6099853515625,662.9299926757812,86288000.0
2025-10-01 00:00:00,,,,,,668.4500122070312,669.3699951171875,663.0599975585938,663.1699829101562,72545400.0
2025-10-02 00:00:00,,,,,,669.219970703125,670.5700073242188,666.780029296875,670.4500122070312,56896000.0
2025-10-03 00:00:00,,,,,,669.2100219726562,672.6799926757812,668.1599731445312,669.989990234375,70494400.0
2025-10-06 00:00:00,,,,,,671.6099853515625,672.510009765625,669.4600219726562,671.6199951171875,54623300.0
2025-10-07 00:00:00,,,,,,669.1199951171875,672.989990234375,667.6699829101562,672.5399780273438,72020100.0
2025-10-08 00:00:00,,,,,,673.1099853515625,673.2100219726562,669.4199829101562,670.25,60702200.0
2025-10-09 00:00:00,,,,,,671.1599731445312,673.9400024414062,669.2100219726562,673.530029296875,66501900.0
2025-10-10 00:00:00,,,,,,653.02001953125,673.9500122070312,652.8400268554688,672.1300048828125,159422600.0
2025-10-13 00:00:00,,,,,,663.0399780273438,665.1300048828125,659.77001953125,660.6500244140625,79560500.0
2025-10-14 00:00:00,,,,,,662.22998046875,665.8300170898438,653.1699829101562,657.1699829101562,88779600.0
2025-10-15 00:00:00,,,,,,665.1699829101562,670.22998046875,658.9299926757812,666.8200073242188,81702600.0
2025-10-16 00:00:00,,,,,,660.6400146484375,668.7100219726562,657.1099853515625,666.8200073242188,110563300.0
2025-10-17 00:00:00,,,,,,664.3900146484375,665.760009765625,658.1400146484375,659.5,96500900.0
2025-10-20 00:00:00,,,,,,671.2999877929688,672.2100219726562,667.27001953125,667.3200073242188,60493400.0
2025-10-21 00:00:00,,,,,,671.2899780273438,672.989990234375,669.97998046875,671.4400024414062,56249000.0
2025-10-22 00:00:00,,,,,,667.7999877929688,672.0,663.2999877929688,672.0,80564000.0
2025-10-23 00:00:00,,,,,,671.760009765625,672.7100219726562,667.7999877929688,668.1199951171875,65604500.0
2025-10-24 00:00:00,,,,,,677.25,678.469970703125,675.6500244140625,676.4600219726562,74356500.0
2025-10-27 00:00:00,,,,,,685.239990234375,685.5399780273438,682.1199951171875,682.72998046875,63339800.0
2025-10-28 00:00:00,,,,,,687.0599975585938,688.9099731445312,684.8300170898438,687.0499877929688,61738100.0
2025-10-29 00:00:00,,,,,,687.3900146484375,689.7000122070312,682.8699951171875,688.719970703125,85657100.0
2025-10-30 00:00:00,,,,,,679.8300170898438,685.9400024414062,679.8300170898438,683.9000244140625,76335800.0
2025-10-31 00:00:00,,,,,,682.0599975585938,685.0800170898438,679.239990234375,685.0399780273438,87119400.0
